State,County,MedianAQI
Alabama,Autauga,40
Alabama,Colbert,56
Alabama,Jackson,94
Alabama,Jefferson,50
Alabama,Lauderdale,56
Alabama,Madison,58
Alabama,Mobile,41
Alabama,Monroe,40
Alabama,Morgan,39
Alabama,Tuscaloosa,38
Alaska,Anchorage ,44
Alaska,Fairbanks North Star ,33
Alaska,North Slope ,28
Alaska,Valdez-Cordova ,36
Arizona,Cochise,117
Arizona,Coconino,42
Arizona,Gila,173
Arizona,Greenlee,181
Arizona,Maricopa,79
Arizona,Pima,101
Arizona,Pinal,39
Arizona,Yavapai,47
Arizona,Yuma,35
Arkansas,Crittenden,14
Arkansas,Pulaski,38
California,Alameda,40
California,Butte,38
California,Colusa,16
California,Contra Costa,47
California,El Dorado,50
California,Fresno,90
California,Glenn,37
California,Imperial,48
California,Inyo,37
California,Kern,93
California,Kings,37
California,Lake,34
California,Los Angeles,168
California,Marin,38
California,Mendocino,28
California,Mono,24
California,Monterey,37
California,Napa,38
California,Orange,100
California,Placer,44
California,Riverside,114
California,Sacramento,54
California,San Benito,34
California,San Bernardino,126
California,San Diego,110
California,San Francisco,38
California,San Joaquin,47
California,San Luis Obispo,47
California,San Mateo,31
California,Santa Barbara,61
California,Santa Clara,43
California,Santa Cruz,38
California,Shasta,40
California,Solano,38
California,Sonoma,38
California,Stanislaus,51
California,Sutter,21
California,Tulare,68
California,Tuolumne,70
California,Ventura,89
California,Yolo,40
Colorado,Adams,60
Colorado,Arapahoe,39
Colorado,Boulder,33
Colorado,Denver,94
Colorado,El Paso,57
Colorado,Jefferson,49
Colorado,Larimer,34
Colorado,Mesa,18
Colorado,Pueblo,17
Colorado,Weld,43
Connecticut,Fairfield,120
Connecticut,Hartford,60
Connecticut,Litchfield,44
Connecticut,Middlesex,67
Connecticut,New Haven,59
Connecticut,Tolland,54
Delaware,Kent,29
Delaware,New Castle,93
Delaware,Sussex,0
District Of Columbia,District of Columbia,69
Florida,Alachua,24
Florida,Bay,49
Florida,Brevard,4
Florida,Broward,48
Florida,Citrus,9
Florida,Duval,74
Florida,Escambia,74
Florida,Gadsden,10
Florida,Hillsborough,77
Florida,Holmes,0
Florida,Jackson,17
Florida,Lee,35
Florida,Leon,37
Florida,Manatee,19
Florida,Miami-Dade,42
Florida,Nassau,36
Florida,Orange,40
Florida,Palm Beach,39
Florida,Pinellas,63
Florida,Seminole,28
Florida,St. Johns,0
Georgia,Baldwin,10
Georgia,Bibb,10
Georgia,Chatham,17
Georgia,Coweta,20
Georgia,DeKalb,31
Georgia,Fannin,36
Georgia,Floyd,24
Georgia,Fulton,53
Georgia,Glynn,13
Georgia,Mitchell,6
Georgia,Muscogee,38
Georgia,Paulding,41
Georgia,Richmond,13
Georgia,Rockdale,28
Georgia,Wheeler,6
Hawaii,Honolulu,18
Idaho,Ada,57
Idaho,Bannock,69
Idaho,Caribou,94
Idaho,Shoshone,121
Illinois,Adams,41
Illinois,Champaign,28
Illinois,Cook,99
Illinois,Crawford,46
Illinois,DuPage,26
Illinois,Kane,29
Illinois,La Salle,31
Illinois,Lake,33
Illinois,Macon,43
Illinois,Macoupin,34
Illinois,Madison,100
Illinois,Massac,116
Illinois,McHenry,32
Illinois,Monroe,38
Illinois,Peoria,40
Illinois,Rock Island,42
Illinois,Saint Clair,81
Illinois,Sangamon,62
Illinois,Tazewell,31
Illinois,Wabash,67
Illinois,Will,54
Illinois,Williamson,47
Illinois,Winnebago,27
Indiana,Allen,37
Indiana,Clark,105
Indiana,Daviess,54
Indiana,Dearborn,71
Indiana,Delaware,29
Indiana,Floyd,80
Indiana,Fountain,44
Indiana,Gibson,47
Indiana,Hamilton,47
Indiana,Hancock,39
Indiana,Howard,20
Indiana,Jasper,25
Indiana,Jefferson,72
