State,MortalityChange
Alabama,-39.91
Alaska,-50.33
Arizona,-49.4
Arkansas,-37.74
California,-53.59
Colorado,-47.83
Connecticut,-53.57
Delaware,-53.02
District of Columbia,-43.44
Florida,-48.5
Georgia,-49.04
Hawaii,-42.86
Idaho,-44.66
Illinois,-52.56
Indiana,-47.01
Iowa,-45.33
Kansas,-42.66
Kentucky,-44.44
Louisiana,-44.8
Maine,-54.12
Maryland,-49.74
Massachusetts,-55.06
Michigan,-47.05
Minnesota,-55.6
Mississippi,-39.26
Missouri,-43.69
Montana,-46.58
Nebraska,-50.53
Nevada,-48.6
New Hampshire,-52.71
New Jersey,-54.55
New Mexico,-41.49
New York,-54.77
North Carolina,-51.65
North Dakota,-46.73
Ohio,-49.09
Oklahoma,-33.8
Oregon,-50.37
Pennsylvania,-52.07
Rhode Island,-50.98
South Carolina,-52.32
South Dakota,-49.6
Tennessee,-42.09
Texas,-46.72
Utah,-42.88
Vermont,-53.95
Virginia,-53.53
Washington,-48.5
West Virginia,-46.22
Wisconsin,-50.73
Wyoming,-43.44
